"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21144","@Web Morevalidations","","2026-06-16","passed","2026-06-16","","MoreValidations.spec.js","",""
"","100140","Client App Login For iphone 13 pro","","2026-06-16","broken","2026-06-16","","ClientAppPO.spec.js","",""
"","19296","First PlayWright Test","","2026-06-16","passed","2026-06-16","","UiBasics.spec.js","",""
"","13219","Calendar validations Ideal","","2026-06-16","passed","2026-06-16","","Calendar.spec.js","",""
"","65023","Practice Login","","2026-06-16","passed","2026-06-16","","UiPractice1.spec.js","",""
"","68286","Calendar","","2026-06-16","broken","2026-06-16","","Calendar.spec.js","",""
"","58035","Upload download excel validations","","2026-06-16","failed","2026-06-16","","upload-download.spec.js","",""
"","5785","@API Ideal","","2026-06-16","passed","2026-06-16","","WebApi1.spec.js","",""
"","8787","@Web ScreenShots Test","","2026-06-16","passed","2026-06-16","","MoreValidations.spec.js","",""
"","2769","Network Intercept Access Denied","","2026-06-16","failed","2026-06-16","","NetworkAssignment2.spec.js","",""
"","86110","Ideal","","2026-06-16","broken","2026-06-16","","NetworkTest.spec.js","",""
"","22014","Third PlayWright Test","","2026-06-16","passed","2026-06-16","","UiBasics.spec.js","",""
"","5239","@API Test 2 — Banner is NOT visible when 4 events are returned","","2026-06-16","passed","2026-06-16","","NetworkAssignment1.spec.js","",""
"","2818","@API SecondTest","","2026-06-16","passed","2026-06-16","","WebApi2.spec.js","",""
"","6338","@API Test 1 — Banner IS visible when 6 events are returned","","2026-06-16","passed","2026-06-16","","NetworkAssignment1.spec.js","",""
"","100309","Client App Login For ZARA COAT 3","","2026-06-16","broken","2026-06-16","","ClientAppPO.spec.js","",""
"","51288","Ideal","","2026-06-16","broken","2026-06-16","","WebApi2.spec.js","",""
"","77668","Practice Add to Cart","","2026-06-16","broken","2026-06-16","","UiPractice1.spec.js","",""
"","14513","LLC Test","","2026-06-16","passed","2026-06-16","","llc.spec.js","",""
"","50735","Ideal","","2026-06-16","passed","2026-06-16","","UiPractice1.spec.js","",""
"","16002","Network Intercept1","","2026-06-16","passed","2026-06-16","","NetworkTest2.spec.js","",""
"","15958","test","","2026-06-16","passed","2026-06-16","","UiPractice2.spec.js","",""
"","51352","Second PlayWright Test","","2026-06-16","passed","2026-06-16","","UiBasics.spec.js","",""
"","88196","Client App Login For Fixtures","","2026-06-16","broken","2026-06-16","","ClientAppPO.spec.js","",""
"","54107","Visual testing","","2026-06-16","failed","2026-06-16","","MoreValidations.spec.js","",""
